month,part_id,part_name,sku,category,demand,inventory_level,price,sales_volume
2023-01,P001,Battery Pack,BAT-5000,Power,63,90,8500,69
2023-01,P002,Electric Motor,MOT-3000,Drivetrain,64,100,12000,69
2023-01,P003,Charging Port,CHG-200,Electrical,115,173,450,69
2023-01,P004,Display Console,DSP-100,Interior,87,147,1200,69
2023-01,P005,Brake System,BRK-400,Safety,88,140,2500,69
2023-01,P006,Tire Set,TIR-800,Wheels,95,137,1800,69
2023-01,P007,Suspension Kit,SUS-600,Chassis,53,82,3200,69
2023-01,P008,HVAC Unit,HVC-300,Climate,77,120,1500,69
2023-02,P001,Battery Pack,BAT-5000,Power,55,82,8500,56
2023-02,P002,Electric Motor,MOT-3000,Drivetrain,50,80,12000,56
2023-02,P003,Charging Port,CHG-200,Electrical,78,119,450,56
2023-02,P004,Display Console,DSP-100,Interior,60,85,1200,56
2023-02,P005,Brake System,BRK-400,Safety,61,102,2500,56
2023-02,P006,Tire Set,TIR-800,Wheels,74,112,1800,56
2023-02,P007,Suspension Kit,SUS-600,Chassis,41,74,3200,56
2023-02,P008,HVAC Unit,HVC-300,Climate,63,87,1500,56
2023-03,P001,Battery Pack,BAT-5000,Power,120,191,8500,102
2023-03,P002,Electric Motor,MOT-3000,Drivetrain,98,132,12000,102
2023-03,P003,Charging Port,CHG-200,Electrical,135,204,450,102
2023-03,P004,Display Console,DSP-100,Interior,90,143,1200,102
2023-03,P005,Brake System,BRK-400,Safety,96,142,2500,102
2023-03,P006,Tire Set,TIR-800,Wheels,174,264,1800,102
2023-03,P007,Suspension Kit,SUS-600,Chassis,69,112,3200,102
2023-03,P008,HVAC Unit,HVC-300,Climate,103,153,1500,102
2023-04,P001,Battery Pack,BAT-5000,Power,99,144,8500,100
2023-04,P002,Electric Motor,MOT-3000,Drivetrain,78,116,12000,100
2023-04,P003,Charging Port,CHG-200,Electrical,150,225,450,100
2023-04,P004,Display Console,DSP-100,Interior,104,151,1200,100
2023-04,P005,Brake System,BRK-400,Safety,120,175,2500,100
2023-04,P006,Tire Set,TIR-800,Wheels,141,211,1800,100
2023-04,P007,Suspension Kit,SUS-600,Chassis,77,111,3200,100
2023-04,P008,HVAC Unit,HVC-300,Climate,86,127,1500,100
2023-05,P001,Battery Pack,BAT-5000,Power,161,246,8500,128
2023-05,P002,Electric Motor,MOT-3000,Drivetrain,79,122,12000,128
2023-05,P003,Charging Port,CHG-200,Electrical,214,327,450,128
2023-05,P004,Display Console,DSP-100,Interior,136,206,1200,128
2023-05,P005,Brake System,BRK-400,Safety,158,219,2500,128
2023-05,P006,Tire Set,TIR-800,Wheels,159,257,1800,128
2023-05,P007,Suspension Kit,SUS-600,Chassis,93,139,3200,128
2023-05,P008,HVAC Unit,HVC-300,Climate,111,172,1500,128
2023-06,P001,Battery Pack,BAT-5000,Power,107,166,8500,131
2023-06,P002,Electric Motor,MOT-3000,Drivetrain,97,128,12000,131
2023-06,P003,Charging Port,CHG-200,Electrical,209,312,450,131
2023-06,P004,Display Console,DSP-100,Interior,142,218,1200,131
2023-06,P005,Brake System,BRK-400,Safety,166,260,2500,131
2023-06,P006,Tire Set,TIR-800,Wheels,179,270,1800,131
2023-06,P007,Suspension Kit,SUS-600,Chassis,112,173,3200,131
2023-06,P008,HVAC Unit,HVC-300,Climate,95,166,1500,131
2023-07,P001,Battery Pack,BAT-5000,Power,144,195,8500,132
2023-07,P002,Electric Motor,MOT-3000,Drivetrain,118,169,12000,132
2023-07,P003,Charging Port,CHG-200,Electrical,172,252,450,132
2023-07,P004,Display Console,DSP-100,Interior,157,241,1200,132
2023-07,P005,Brake System,BRK-400,Safety,171,266,2500,132
2023-07,P006,Tire Set,TIR-800,Wheels,155,219,1800,132
2023-07,P007,Suspension Kit,SUS-600,Chassis,105,166,3200,132
2023-07,P008,HVAC Unit,HVC-300,Climate,121,194,1500,132
2023-08,P001,Battery Pack,BAT-5000,Power,120,180,8500,119
2023-08,P002,Electric Motor,MOT-3000,Drivetrain,111,151,12000,119
2023-08,P003,Charging Port,CHG-200,Electrical,203,302,450,119
2023-08,P004,Display Console,DSP-100,Interior,126,201,1200,119
2023-08,P005,Brake System,BRK-400,Safety,124,183,2500,119
2023-08,P006,Tire Set,TIR-800,Wheels,180,268,1800,119
2023-08,P007,Suspension Kit,SUS-600,Chassis,80,120,3200,119
2023-08,P008,HVAC Unit,HVC-300,Climate,125,174,1500,119
2023-09,P001,Battery Pack,BAT-5000,Power,113,154,8500,101
2023-09,P002,Electric Motor,MOT-3000,Drivetrain,74,126,12000,101
2023-09,P003,Charging Port,CHG-200,Electrical,174,268,450,101
2023-09,P004,Display Console,DSP-100,Interior,121,190,1200,101
2023-09,P005,Brake System,BRK-400,Safety,116,182,2500,101
2023-09,P006,Tire Set,TIR-800,Wheels,125,167,1800,101
2023-09,P007,Suspension Kit,SUS-600,Chassis,38,45,3200,101
2023-09,P008,HVAC Unit,HVC-300,Climate,100,134,1500,101
2023-10,P001,Battery Pack,BAT-5000,Power,100,155,8500,87
2023-10,P002,Electric Motor,MOT-3000,Drivetrain,52,73,12000,87
2023-10,P003,Charging Port,CHG-200,Electrical,112,177,450,87
2023-10,P004,Display Console,DSP-100,Interior,115,177,1200,87
2023-10,P005,Brake System,BRK-400,Safety,110,169,2500,87
2023-10,P006,Tire Set,TIR-800,Wheels,142,214,1800,87
2023-10,P007,Suspension Kit,SUS-600,Chassis,68,104,3200,87
2023-10,P008,HVAC Unit,HVC-300,Climate,73,109,1500,87
2023-11,P001,Battery Pack,BAT-5000,Power,74,103,8500,80
2023-11,P002,Electric Motor,MOT-3000,Drivetrain,72,93,12000,80
2023-11,P003,Charging Port,CHG-200,Electrical,105,147,450,80
2023-11,P004,Display Console,DSP-100,Interior,77,116,1200,80
2023-11,P005,Brake System,BRK-400,Safety,85,139,2500,80
2023-11,P006,Tire Set,TIR-800,Wheels,96,146,1800,80
2023-11,P007,Suspension Kit,SUS-600,Chassis,62,82,3200,80
2023-11,P008,HVAC Unit,HVC-300,Climate,79,125,1500,80
2023-12,P001,Battery Pack,BAT-5000,Power,84,131,8500,75
2023-12,P002,Electric Motor,MOT-3000,Drivetrain,58,71,12000,75
2023-12,P003,Charging Port,CHG-200,Electrical,130,195,450,75
2023-12,P004,Display Console,DSP-100,Interior,105,165,1200,75
2023-12,P005,Brake System,BRK-400,Safety,75,103,2500,75
2023-12,P006,Tire Set,TIR-800,Wheels,109,149,1800,75
2023-12,P007,Suspension Kit,SUS-600,Chassis,54,74,3200,75
2023-12,P008,HVAC Unit,HVC-300,Climate,75,115,1500,75
2024-01,P001,Battery Pack,BAT-5000,Power,60,101,8500,75
2024-01,P002,Electric Motor,MOT-3000,Drivetrain,62,84,12000,75
2024-01,P003,Charging Port,CHG-200,Electrical,100,133,450,75
2024-01,P004,Display Console,DSP-100,Interior,104,171,1200,75
2024-01,P005,Brake System,BRK-400,Safety,85,126,2500,75
2024-01,P006,Tire Set,TIR-800,Wheels,103,146,1800,75
2024-01,P007,Suspension Kit,SUS-600,Chassis,53,79,3200,75
2024-01,P008,HVAC Unit,HVC-300,Climate,81,134,1500,75
2024-02,P001,Battery Pack,BAT-5000,Power,81,119,8500,95
2024-02,P002,Electric Motor,MOT-3000,Drivetrain,83,119,12000,95
2024-02,P003,Charging Port,CHG-200,Electrical,146,208,450,95
2024-02,P004,Display Console,DSP-100,Interior,132,196,1200,95
2024-02,P005,Brake System,BRK-400,Safety,123,186,2500,95
2024-02,P006,Tire Set,TIR-800,Wheels,116,168,1800,95
2024-02,P007,Suspension Kit,SUS-600,Chassis,66,97,3200,95
2024-02,P008,HVAC Unit,HVC-300,Climate,91,141,1500,95
2024-03,P001,Battery Pack,BAT-5000,Power,136,220,8500,127
2024-03,P002,Electric Motor,MOT-3000,Drivetrain,116,166,12000,127
2024-03,P003,Charging Port,CHG-200,Electrical,159,250,450,127
2024-03,P004,Display Console,DSP-100,Interior,140,197,1200,127
2024-03,P005,Brake System,BRK-400,Safety,128,188,2500,127
2024-03,P006,Tire Set,TIR-800,Wheels,177,242,1800,127
2024-03,P007,Suspension Kit,SUS-600,Chassis,79,117,3200,127
2024-03,P008,HVAC Unit,HVC-300,Climate,96,144,1500,127
2024-04,P001,Battery Pack,BAT-5000,Power,154,229,8500,135
2024-04,P002,Electric Motor,MOT-3000,Drivetrain,102,158,12000,135
2024-04,P003,Charging Port,CHG-200,Electrical,226,343,450,135
2024-04,P004,Display Console,DSP-100,Interior,166,251,1200,135
2024-04,P005,Brake System,BRK-400,Safety,153,227,2500,135
2024-04,P006,Tire Set,TIR-800,Wheels,213,321,1800,135
2024-04,P007,Suspension Kit,SUS-600,Chassis,75,119,3200,135
2024-04,P008,HVAC Unit,HVC-300,Climate,142,205,1500,135
2024-05,P001,Battery Pack,BAT-5000,Power,143,213,8500,127
2024-05,P002,Electric Motor,MOT-3000,Drivetrain,110,155,12000,127
2024-05,P003,Charging Port,CHG-200,Electrical,232,332,450,127
2024-05,P004,Display Console,DSP-100,Interior,120,169,1200,127
2024-05,P005,Brake System,BRK-400,Safety,148,232,2500,127
2024-05,P006,Tire Set,TIR-800,Wheels,154,240,1800,127
2024-05,P007,Suspension Kit,SUS-600,Chassis,107,159,3200,127
2024-05,P008,HVAC Unit,HVC-300,Climate,120,169,1500,127
2024-06,P001,Battery Pack,BAT-5000,Power,161,243,8500,136
2024-06,P002,Electric Motor,MOT-3000,Drivetrain,117,178,12000,136
2024-06,P003,Charging Port,CHG-200,Electrical,188,276,450,136
2024-06,P004,Display Console,DSP-100,Interior,173,248,1200,136
2024-06,P005,Brake System,BRK-400,Safety,151,222,2500,136
2024-06,P006,Tire Set,TIR-800,Wheels,207,322,1800,136
2024-06,P007,Suspension Kit,SUS-600,Chassis,86,122,3200,136
2024-06,P008,HVAC Unit,HVC-300,Climate,145,216,1500,136
2024-07,P001,Battery Pack,BAT-5000,Power,125,213,8500,147
2024-07,P002,Electric Motor,MOT-3000,Drivetrain,122,173,12000,147
2024-07,P003,Charging Port,CHG-200,Electrical,192,306,450,147
2024-07,P004,Display Console,DSP-100,Interior,200,300,1200,147
2024-07,P005,Brake System,BRK-400,Safety,166,243,2500,147
2024-07,P006,Tire Set,TIR-800,Wheels,175,261,1800,147
2024-07,P007,Suspension Kit,SUS-600,Chassis,115,175,3200,147
2024-07,P008,HVAC Unit,HVC-300,Climate,108,175,1500,147
2024-08,P001,Battery Pack,BAT-5000,Power,133,209,8500,133
2024-08,P002,Electric Motor,MOT-3000,Drivetrain,100,160,12000,133
2024-08,P003,Charging Port,CHG-200,Electrical,202,298,450,133
2024-08,P004,Display Console,DSP-100,Interior,153,231,1200,133
2024-08,P005,Brake System,BRK-400,Safety,139,211,2500,133
2024-08,P006,Tire Set,TIR-800,Wheels,223,338,1800,133
2024-08,P007,Suspension Kit,SUS-600,Chassis,105,140,3200,133
2024-08,P008,HVAC Unit,HVC-300,Climate,143,208,1500,133
2024-09,P001,Battery Pack,BAT-5000,Power,134,196,8500,110
2024-09,P002,Electric Motor,MOT-3000,Drivetrain,99,156,12000,110
2024-09,P003,Charging Port,CHG-200,Electrical,155,242,450,110
2024-09,P004,Display Console,DSP-100,Interior,124,183,1200,110
2024-09,P005,Brake System,BRK-400,Safety,133,203,2500,110
2024-09,P006,Tire Set,TIR-800,Wheels,177,279,1800,110
2024-09,P007,Suspension Kit,SUS-600,Chassis,76,121,3200,110
2024-09,P008,HVAC Unit,HVC-300,Climate,93,134,1500,110
2024-10,P001,Battery Pack,BAT-5000,Power,106,151,8500,109
2024-10,P002,Electric Motor,MOT-3000,Drivetrain,90,130,12000,109
2024-10,P003,Charging Port,CHG-200,Electrical,156,236,450,109
2024-10,P004,Display Console,DSP-100,Interior,128,188,1200,109
2024-10,P005,Brake System,BRK-400,Safety,135,189,2500,109
2024-10,P006,Tire Set,TIR-800,Wheels,145,223,1800,109
2024-10,P007,Suspension Kit,SUS-600,Chassis,90,145,3200,109
2024-10,P008,HVAC Unit,HVC-300,Climate,124,198,1500,109
2024-11,P001,Battery Pack,BAT-5000,Power,108,170,8500,90
2024-11,P002,Electric Motor,MOT-3000,Drivetrain,59,84,12000,90
2024-11,P003,Charging Port,CHG-200,Electrical,135,202,450,90
2024-11,P004,Display Console,DSP-100,Interior,109,174,1200,90
2024-11,P005,Brake System,BRK-400,Safety,119,187,2500,90
2024-11,P006,Tire Set,TIR-800,Wheels,126,196,1800,90
2024-11,P007,Suspension Kit,SUS-600,Chassis,65,97,3200,90
2024-11,P008,HVAC Unit,HVC-300,Climate,93,147,1500,90
2024-12,P001,Battery Pack,BAT-5000,Power,92,154,8500,98
2024-12,P002,Electric Motor,MOT-3000,Drivetrain,75,117,12000,98
2024-12,P003,Charging Port,CHG-200,Electrical,172,279,450,98
2024-12,P004,Display Console,DSP-100,Interior,105,150,1200,98
2024-12,P005,Brake System,BRK-400,Safety,101,146,2500,98
2024-12,P006,Tire Set,TIR-800,Wheels,146,198,1800,98
2024-12,P007,Suspension Kit,SUS-600,Chassis,54,78,3200,98
2024-12,P008,HVAC Unit,HVC-300,Climate,89,132,1500,98
2025-01,P001,Battery Pack,BAT-5000,Power,91,152,8500,92
2025-01,P002,Electric Motor,MOT-3000,Drivetrain,70,95,12000,92
2025-01,P003,Charging Port,CHG-200,Electrical,147,218,450,92
2025-01,P004,Display Console,DSP-100,Interior,122,187,1200,92
2025-01,P005,Brake System,BRK-400,Safety,107,155,2500,92
2025-01,P006,Tire Set,TIR-800,Wheels,114,183,1800,92
2025-01,P007,Suspension Kit,SUS-600,Chassis,56,84,3200,92
2025-01,P008,HVAC Unit,HVC-300,Climate,92,141,1500,92
2025-02,P001,Battery Pack,BAT-5000,Power,92,129,8500,91
2025-02,P002,Electric Motor,MOT-3000,Drivetrain,80,127,12000,91
2025-02,P003,Charging Port,CHG-200,Electrical,145,223,450,91
2025-02,P004,Display Console,DSP-100,Interior,105,149,1200,91
2025-02,P005,Brake System,BRK-400,Safety,92,122,2500,91
2025-02,P006,Tire Set,TIR-800,Wheels,134,188,1800,91
2025-02,P007,Suspension Kit,SUS-600,Chassis,65,78,3200,91
2025-02,P008,HVAC Unit,HVC-300,Climate,94,148,1500,91
2025-03,P001,Battery Pack,BAT-5000,Power,148,215,8500,128
2025-03,P002,Electric Motor,MOT-3000,Drivetrain,99,130,12000,128
2025-03,P003,Charging Port,CHG-200,Electrical,176,236,450,128
2025-03,P004,Display Console,DSP-100,Interior,164,249,1200,128
2025-03,P005,Brake System,BRK-400,Safety,128,166,2500,128
2025-03,P006,Tire Set,TIR-800,Wheels,195,288,1800,128
2025-03,P007,Suspension Kit,SUS-600,Chassis,79,102,3200,128
2025-03,P008,HVAC Unit,HVC-300,Climate,128,171,1500,128
2025-04,P001,Battery Pack,BAT-5000,Power,150,215,8500,140
2025-04,P002,Electric Motor,MOT-3000,Drivetrain,120,177,12000,140
2025-04,P003,Charging Port,CHG-200,Electrical,189,293,450,140
2025-04,P004,Display Console,DSP-100,Interior,176,266,1200,140
2025-04,P005,Brake System,BRK-400,Safety,158,252,2500,140
2025-04,P006,Tire Set,TIR-800,Wheels,202,297,1800,140
2025-04,P007,Suspension Kit,SUS-600,Chassis,81,105,3200,140
2025-04,P008,HVAC Unit,HVC-300,Climate,130,210,1500,140
2025-05,P001,Battery Pack,BAT-5000,Power,143,232,8500,143
2025-05,P002,Electric Motor,MOT-3000,Drivetrain,118,185,12000,143
2025-05,P003,Charging Port,CHG-200,Electrical,204,301,450,143
2025-05,P004,Display Console,DSP-100,Interior,184,279,1200,143
2025-05,P005,Brake System,BRK-400,Safety,179,259,2500,143
2025-05,P006,Tire Set,TIR-800,Wheels,213,330,1800,143
2025-05,P007,Suspension Kit,SUS-600,Chassis,109,147,3200,143
2025-05,P008,HVAC Unit,HVC-300,Climate,145,212,1500,143
2025-06,P001,Battery Pack,BAT-5000,Power,180,266,8500,170
2025-06,P002,Electric Motor,MOT-3000,Drivetrain,143,218,12000,170
2025-06,P003,Charging Port,CHG-200,Electrical,223,327,450,170
2025-06,P004,Display Console,DSP-100,Interior,184,287,1200,170
2025-06,P005,Brake System,BRK-400,Safety,192,287,2500,170
2025-06,P006,Tire Set,TIR-800,Wheels,202,309,1800,170
2025-06,P007,Suspension Kit,SUS-600,Chassis,99,157,3200,170
2025-06,P008,HVAC Unit,HVC-300,Climate,170,232,1500,170
2025-07,P001,Battery Pack,BAT-5000,Power,185,268,8500,153
2025-07,P002,Electric Motor,MOT-3000,Drivetrain,134,185,12000,153
2025-07,P003,Charging Port,CHG-200,Electrical,218,340,450,153
2025-07,P004,Display Console,DSP-100,Interior,178,274,1200,153
2025-07,P005,Brake System,BRK-400,Safety,183,288,2500,153
2025-07,P006,Tire Set,TIR-800,Wheels,263,381,1800,153
2025-07,P007,Suspension Kit,SUS-600,Chassis,96,151,3200,153
2025-07,P008,HVAC Unit,HVC-300,Climate,146,200,1500,153
2025-08,P001,Battery Pack,BAT-5000,Power,145,215,8500,182
2025-08,P002,Electric Motor,MOT-3000,Drivetrain,134,195,12000,182
2025-08,P003,Charging Port,CHG-200,Electrical,227,348,450,182
2025-08,P004,Display Console,DSP-100,Interior,220,336,1200,182
2025-08,P005,Brake System,BRK-400,Safety,231,337,2500,182
2025-08,P006,Tire Set,TIR-800,Wheels,302,452,1800,182
2025-08,P007,Suspension Kit,SUS-600,Chassis,111,164,3200,182
2025-08,P008,HVAC Unit,HVC-300,Climate,194,291,1500,182
2025-09,P001,Battery Pack,BAT-5000,Power,88,127,8500,121
2025-09,P002,Electric Motor,MOT-3000,Drivetrain,104,154,12000,121
2025-09,P003,Charging Port,CHG-200,Electrical,187,283,450,121
2025-09,P004,Display Console,DSP-100,Interior,122,180,1200,121
2025-09,P005,Brake System,BRK-400,Safety,103,155,2500,121
2025-09,P006,Tire Set,TIR-800,Wheels,159,239,1800,121
2025-09,P007,Suspension Kit,SUS-600,Chassis,81,121,3200,121
2025-09,P008,HVAC Unit,HVC-300,Climate,103,148,1500,121
2025-10,P001,Battery Pack,BAT-5000,Power,36,40,8500,39
2025-10,P002,Electric Motor,MOT-3000,Drivetrain,37,48,12000,39
2025-10,P003,Charging Port,CHG-200,Electrical,62,87,450,39
2025-10,P004,Display Console,DSP-100,Interior,31,41,1200,39
2025-10,P005,Brake System,BRK-400,Safety,40,58,2500,39
2025-10,P006,Tire Set,TIR-800,Wheels,59,92,1800,39
2025-10,P007,Suspension Kit,SUS-600,Chassis,29,49,3200,39
2025-10,P008,HVAC Unit,HVC-300,Climate,28,49,1500,39
